LON,LAT,EDO,CLAVE,ESTACION,nov-19
-89.723889,19.4625,CAMP,DZILBACHEN,"Dzilbach�n, Camp. SMN*",42.6
-90.758333,18.607778,CAMP,ESCARCEGA,"Esc�rcega, Camp. SMN*",69.2
-90.741111,18.604444,CAMP,ESCCA,"Esc�rcega, Camp.",98.5
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",53
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",13.4
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",86.8
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxch�, Camp.",150
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",52.6
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",248.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",163
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",44.2
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",69.7
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz�lez, Chih.",35
-108.036389,31.096667,CHIH,ASCENCION,"Ascensi�n, Chih. INIFAP*",95.2
-105.422778,28.558889,CHIH,BABISAS,"Babisas, Chih. SMN*",12.3
-107.255556,28.771667,CHIH,BACCH,"Bach�niva, Chih.",34
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",201
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",188.8
-108.271389,31.114722,CHIH,BUENAVISTACH,"Buena Vista, Chih. INIFAP*",126
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",45
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",129
-108.083333,29.216667,CHIH,C08219,"Pe�itas, Chih.",128.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",41.1
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",13.1
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",66.9
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauht�moc, Chih. SMN*",50
-106.427222,31.689722,CHIH,CDJUAREZob,"Observatorio de Ciudad Ju�rez, Chih. SMN*",35.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",38.3
-108.535556,27.392222,CHIH,CHICH,"Ch�nipas, Chih. SMN*",152.4
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",15.4
-106.770556,26.229444,CHIH,CHNCH,"Chinat�, Chih. SMN*",144.8
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",27.3
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju�rez, Chih.",13.6
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidrom�trica), Chih.",48
-105.3825,27.577222,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",43
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",167
-107.948333,30.7825,CHIH,COLELCAPULIN,"Colonia el Capul�n, Chih. INIFAP*",95.2
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",44.5
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",32.2
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",34.8
-107.926944,30.464444,CHIH,DUBLAN,"Dublan, Chih. INIFAP*",31.2
-106.119444,28.614722,CHIH,ERECH,"El Rej�n, Chih.",27.3
-108.325278,30.8675,CHIH,FERNANDEZLEAL,"Fern�ndez Leal, Chih. INIFAP*",112.6
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",31
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",95
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",131.5
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",103.5
-105.277778,28.994722,CHIH,HGRANERO,"El Granero hidrom�trica, Chih. SGT*",4.3
-106.41,30.149167,CHIH,IFBARRIAL,"El Barrial, Chih. INIFAP*",26
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",109
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",51.4
-104.912778,27.126667,CHIH,JMNCH,"Jim�nez, Chih.",47.6
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",58.1
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",34
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. Le�n, Chih.",43.5
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",84.1
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",36
